"ID","mean_Ctrl3w","mean_KO3w","mean_Ctrl8w_NaCl","mean_KO8w_NaCl","mean_KO8w_AAV"
"ENSMUSG00000001924",8209,7387.33333333333,7223.8,9210.16666666667,6950.83333333333
"ENSMUSG00000001930",2175,1964.66666666667,2191.8,2896,2706.66666666667
"ENSMUSG00000001942",684.8,647.833333333333,644.4,388.5,572.666666666667
"ENSMUSG00000001943",415.4,396.166666666667,350.4,351.5,368.5
"ENSMUSG00000001946",2914.4,2892,2419,2534.16666666667,2533.5
"ENSMUSG00000001948",139.8,128.666666666667,87.6,63.8333333333333,76.8333333333333
"ENSMUSG00000001962",989.8,841.333333333333,607.2,1044,648.833333333333
"ENSMUSG00000001964",1425.6,1219.66666666667,974.8,1230.5,886
"ENSMUSG00000001983",1768,1576.33333333333,1346.4,1332.83333333333,1038.16666666667
"ENSMUSG00000001985",9.2,8.83333333333333,10.8,22.6666666666667,13.1666666666667
"ENSMUSG00000001986",78.4,69.3333333333333,62.2,141,157
"ENSMUSG00000001988",0.2,0.166666666666667,0,0.333333333333333,0
"ENSMUSG00000001995",2779.6,2332.16666666667,1942.2,1815,1786.33333333333
"ENSMUSG00000001998",238.6,208.166666666667,185,259.5,222.333333333333
"ENSMUSG00000001999",479,455.166666666667,405.4,650,468.666666666667
"ENSMUSG00000002006",88.2,89,79.2,76.3333333333333,89.5
"ENSMUSG00000002007",1300.2,1129.33333333333,1191.4,390.5,823.333333333333
"ENSMUSG00000002010",16155,15381.3333333333,14952.8,12925.1666666667,12835.3333333333
"ENSMUSG00000002012",272.2,266,237.2,191.333333333333,255.5
"ENSMUSG00000002014",1309.2,1251.83333333333,1034,1383.66666666667,1020
"ENSMUSG00000002015",1890.4,1695.83333333333,1541.4,1635.5,1659.5
"ENSMUSG00000002017",1840.2,1691.16666666667,1653.2,2225,1700.5
"ENSMUSG00000002020",217.8,245,392.6,6391.16666666667,5229
"ENSMUSG00000002028",1775.2,1471.83333333333,1366.6,1707.33333333333,1537.66666666667
"ENSMUSG00000002031",512.8,526.166666666667,405.8,532.5,542.666666666667
"ENSMUSG00000002032",568.8,493,505,273.666666666667,333.5
